,symbol,D_OPEN,D_HIGH,D_LOW,D_MAX,D_MIN,price,PCT,D_CHANGE,D_C_MIN,D_C_MAX
154,CKBUSDT,0.002843,0.002876,0.002776,1.161,-2.357,0.002807,31.0,-1.266,1.117,-2.399
155,ETHUSDT,1879.35,1892.32,1862.43,0.69,-0.9,1867.14,15.76,-0.65,0.253,-1.331
156,BLZUSDT,0.05652,0.05691,0.05566,0.69,-1.522,0.05612,36.8,-0.708,0.826,-1.388
157,CTSIUSDT,0.1777,0.1845,0.1677,3.827,-5.627,0.1723,27.38,-3.039,2.743,-6.612
158,MAVUSDT,0.3697,0.3697,0.3483,0.0,-5.788,0.3581,45.79,-3.138,2.814,-3.138
159,OGNUSDT,0.0815,0.0825,0.0805,1.227,-1.227,0.0818,65.0,0.368,1.615,-0.848
160,MTLUSDT,1.5226,1.6,1.476,5.083,-3.061,1.5412,52.58,1.222,4.417,-3.675
161,LPTUSDT,4.35,4.377,4.285,0.621,-1.494,4.331,50.0,-0.437,1.074,-1.051
162,FXSUSDT,6.24,6.389,6.226,2.388,-0.224,6.291,39.88,0.817,1.044,-1.534
163,RVNUSDT,0.019,0.01935,0.01886,1.842,-0.737,0.01919,67.35,1.0,1.75,-0.827
164,PERPUSDT,0.4924,0.5031,0.4909,2.173,-0.305,0.4968,48.36,0.894,1.202,-1.252
165,NMRUSDT,12.86,13.19,12.73,2.566,-1.011,12.8,15.22,-0.467,0.55,-2.957
166,COTIUSDT,0.04969,0.05065,0.04916,1.932,-1.067,0.04977,40.94,0.161,1.241,-1.737
167,APTUSDT,7.089,7.14,6.97,0.719,-1.679,6.988,10.59,-1.425,0.258,-2.129
168,IDUSDT,0.261,0.2642,0.2555,1.226,-2.107,0.2577,25.29,-1.264,0.861,-2.46
169,BNBUSDT,245.97,248.66,244.18,1.094,-0.728,245.32,25.45,-0.264,0.467,-1.343
170,FTMUSDT,0.2722,0.2798,0.2718,2.792,-0.147,0.2742,30.0,0.735,0.883,-2.001
