,symbol,D_OPEN,D_HIGH,D_LOW,price,D_MAX,D_MIN,D_C_MAX,D_C_MIN,PCT,D_CHANGE
5,ROSEUSDT,0.05023,0.05031,0.04964,0.04979,0.159,-1.175,-1.034,0.302,22.39,-0.876
14,MTLUSDT,1.3766,1.3819,1.3493,1.3533,0.385,-1.983,-2.07,0.296,12.27,-1.693
83,ARUSDT,5.596,5.644,5.552,5.568,0.858,-0.786,-1.347,0.288,17.39,-0.5
28,GMXUSDT,56.44,56.5,55.74,55.9,0.106,-1.24,-1.062,0.287,21.05,-0.957
169,BTCDOMUSDT,1747.1,1750.4,1740.6,1745.6,0.189,-0.372,-0.274,0.287,51.02,-0.086
94,ZILUSDT,0.0215,0.02154,0.02116,0.02122,0.186,-1.581,-1.486,0.284,15.79,-1.302
101,FETUSDT,0.2148,0.2149,0.2114,0.212,0.047,-1.583,-1.349,0.284,17.14,-1.304
68,ETCUSDT,18.609,18.64,18.421,18.47,0.167,-1.01,-0.912,0.266,22.37,-0.747
67,LDOUSDT,1.9468,1.9502,1.9261,1.9309,0.175,-1.063,-0.99,0.249,19.92,-0.817
10,BTCUSDT,29339.1,29345.9,29211.2,29278.0,0.023,-0.436,-0.231,0.229,49.59,-0.208
62,LRCUSDT,0.2249,0.2258,0.2227,0.2232,0.4,-0.978,-1.151,0.225,16.13,-0.756
96,LPTUSDT,4.2,4.241,4.091,4.1,0.976,-2.595,-3.325,0.22,6.0,-2.381
17,ETHUSDT,1879.86,1881.06,1871.56,1875.02,0.064,-0.442,-0.321,0.185,36.42,-0.257
89,FOOTBALLUSDT,440.76,444.68,436.59,437.38,0.889,-0.946,-1.642,0.181,9.77,-0.767
12,LITUSDT,0.699,0.702,0.685,0.686,0.429,-2.003,-2.279,0.146,5.88,-1.86
55,XMRUSDT,163.08,163.74,162.08,162.31,0.405,-0.613,-0.873,0.142,13.86,-0.472
151,BELUSDT,0.6616,0.665,0.658,0.6586,0.514,-0.544,-0.962,0.091,8.57,-0.453
30,BNXUSDT,0.2445,0.2459,0.2425,0.2426,0.573,-0.818,-1.342,0.041,2.94,-0.777
186,USDCUSDT,0.99947,0.99957,0.99946,0.99957,0.01,-0.001,0.0,0.011,100.0,0.01
50,VETUSDT,0.01886,0.0189,0.01869,0.01869,0.212,-0.901,-1.111,0.0,0.0,-0.901
97,COCOSUSDT,1.454,1.454,1.454,1.454,0.0,0.0,0.0,0.0,,0.0
